"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","stimulus","key_press","response","button_pressed","reward_s01","reward_s02","feedback01","feedback02","listcross"
"html-keyboard-response","26","82552","0.0-8.0-0.0","","null","<p>今どれくらい楽しいかを教えてください</p>","null","","","","","","",""
"html-slider-response","27","84082","0.0-8.0-1.0","","1529.9249999989115","<p>今どれくらい楽しいかを教えてください</p>","","100","","","","","",""
"html-keyboard-response","28","89684","0.0-8.0-2.0","","null","<p style=""font-size: 48px"">+</p>","null","","","","","","",""
"html-keyboard-response","29","91044","0.0-9.0","","1359.4250000005559","<p style='text-align:left'>練習が終わりました</p><p style='text-align:left'>これから本番に入ります、準備がてきたらスペースキーを押してください</p>","32","","","","","","",""
"html-button-response","30","93414","0.0-10.0-0.0","","1357.785000000149","","","","4","0","65.6","65.6","-65.6","6"
"html-keyboard-response","31","97924","0.0-10.0-1.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥65.6</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-65.6</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","32","98939","0.0-10.0-2.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥65.6</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","33","105944","0.0-10.0-3.0","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","34","107502","0.0-10.0-0.1","","1555.1699999996345","","","","4","0","-16","16","-16","7"
"html-keyboard-response","35","112011","0.0-10.0-1.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥16</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-16</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","36","113014","0.0-10.0-2.1","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-16</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","37","116519","0.0-10.0-3.1","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","38","118532","0.0-11.0-0.0","","null","<p>今どれくらい楽しいかを教えてください</p>","null","","","","","","",""
"html-slider-response","39","120556","0.0-11.0-1.0","","2023.060000001351","<p>今どれくらい楽しいかを教えてください</p>","","29","","","","","",""
"html-keyboard-response","40","124065","0.0-11.0-2.0","","null","<p style=""font-size: 48px"">+</p>","null","","","","","","",""
"html-button-response","41","125786","0.0-12.0-0.0","","1718.3850000001257","","","","4","0","32","32","-32","5"
"html-keyboard-response","42","130293","0.0-12.0-1.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥32</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-32</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","43","131294","0.0-12.0-2.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥32</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","44","134105","0.0-12.0-3.0","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","45","136173","0.0-12.0-0.1","","2065.225000000297","","","","4","0","100","100","-100","6"
"html-keyboard-response","46","140690","0.0-12.0-1.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥100</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-100</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","47","141698","0.0-12.0-2.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥100</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","48","145212","0.0-12.0-3.1","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","49","147213","0.0-13.0-0.0","","null","<p>今どれくらい楽しいかを教えてください</p>","null","","","","","","",""
"html-slider-response","50","148648","0.0-13.0-1.0","","1434.409999999858","<p>今どれくらい楽しいかを教えてください</p>","","78","","","","","",""
"html-keyboard-response","51","151461","0.0-13.0-2.0","","null","<p style=""font-size: 48px"">+</p>","null","","","","","","",""
"html-button-response","52","153005","0.0-14.0-0.0","","1542.1749999987078","","","","4","0","225","225","-225","6"
"html-keyboard-response","53","157511","0.0-14.0-1.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥225</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-225</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","54","158517","0.0-14.0-2.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥225</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","55","162731","0.0-14.0-3.0","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","56","164866","0.0-14.0-0.1","","2133.035000000731","","","","4","-40","-88","0","-88","3"
"html-keyboard-response","57","169368","0.0-14.0-1.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-88</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","58","170369","0.0-14.0-2.1","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-88</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","59","173171","0.0-14.0-3.1","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","60","175172","0.0-15.0-0.0","","null","<p>今どれくらい楽しいかを教えてください</p>","null","","","","","","",""
"html-slider-response","61","176623","0.0-15.0-1.0","","1450.3899999999558","<p>今どれくらい楽しいかを教えてください</p>","","44","","","","","",""
"html-keyboard-response","62","180124","0.0-15.0-2.0","","null","<p style=""font-size: 48px"">+</p>","null","","","","","","",""
"html-button-response","63","182593","0.0-16.0-0.0","","2466.664999999921","","","","4","50","0","124","0","5"
"html-keyboard-response","64","187097","0.0-16.0-1.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥124</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","65","188098","0.0-16.0-2.0","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","66","192310","0.0-16.0-3.0","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","67","193667","0.0-16.0-0.1","","1354.429999999411","","","","4","0","-78","78","-78","10"
"html-keyboard-response","68","198183","0.0-16.0-1.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥78</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-78</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","69","199185","0.0-16.0-2.1","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-78</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","70","203397","0.0-16.0-3.1","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","71","205398","0.0-17.0-0.0","","null","<p>今どれくらい楽しいかを教えてください</p>","null","","","","","","",""
"html-slider-response","72","207746","0.0-17.0-1.0","","2347.3850000009406","<p>今どれくらい楽しいかを教えてください</p>","","1","","","","","",""
"html-keyboard-response","73","214747","0.0-17.0-2.0","","null","<p style=""font-size: 48px"">+</p>","null","","","","","","",""
"html-button-response","74","216142","0.0-18.0-0.0","","1392.3700000013923","","","","4","0","41","41","-41","4"
"html-keyboard-response","75","220643","0.0-18.0-1.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥41</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-41</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","76","221659","0.0-18.0-2.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥41</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","77","226561","0.0-18.0-3.0","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","78","229564","0.0-18.0-0.1","","null","","","","null","-40","0","0","-112","5"
"html-keyboard-response","79","234066","0.0-18.0-1.1","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-112</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","80","235069","0.0-18.0-2.1","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-112</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","81","237170","0.0-18.0-3.1","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","82","239021","0.0-18.0-0.2","","1848.7150000000838","","","","4","-60","0","0","-133.2","9"
"html-keyboard-response","83","243523","0.0-18.0-1.2","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-133.2</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","84","244531","0.0-18.0-2.2","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","85","250132","0.0-18.0-3.2","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","86","252134","0.0-19.0-0.0","","null","<p>今どれくらい楽しいかを教えてください</p>","null","","","","","","",""
"html-slider-response","87","253565","0.0-19.0-1.0","","1430.065000000468","<p>今どれくらい楽しいかを教えてください</p>","","0","","","","","",""
"html-keyboard-response","88","257775","0.0-19.0-2.0","","null","<p style=""font-size: 48px"">+</p>","null","","","","","","",""
"html-button-response","89","258895","0.0-20.0-0.0","","1117.405000000872","","","","4","0","33","33","-33","4"
"html-keyboard-response","90","263401","0.0-20.0-1.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥33</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-33</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","91","264414","0.0-20.0-2.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥33</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","92","267917","0.0-20.0-3.0","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","93","269305","0.0-20.0-0.1","","1386.1750000014435","","","","4","40","0","200","0","3"
"html-keyboard-response","94","273812","0.0-20.0-1.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥200</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","95","274814","0.0-20.0-2.1","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","96","279731","0.0-20.0-3.1","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","97","281736","0.0-21.0-0.0","","null","<p>今どれくらい楽しいかを教えてください</p>","null","","","","","","",""
"html-slider-response","98","284585","0.0-21.0-1.0","","2848.8350000006612","<p>今どれくらい楽しいかを教えてください</p>","","0","","","","","",""
"html-keyboard-response","99","288100","0.0-21.0-2.0","","null","<p style=""font-size: 48px"">+</p>","null","","","","","","",""
"html-button-response","100","289649","0.0-22.0-0.0","","1547.2500000014552","","","","1","-30","-84","0","-84","4"
"html-keyboard-response","101","294153","0.0-22.0-1.0","","null","<p style='position: absolute; top: 38%;left: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 42%;left: 28%;color: whilt;font-size: 45pt;'>￥-30</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","102","295165","0.0-22.0-2.0","","null","<p style='position: absolute; top: 38%;left: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 42%;left: 28%;color: whilt;font-size: 45pt;'>￥-30</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","103","298673","0.0-22.0-3.0","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","104","299997","0.0-22.0-0.1","","1321.4850000003353","","","","4","50","84","84","0","5"
"html-keyboard-response","105","304512","0.0-22.0-1.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥84</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","106","305519","0.0-22.0-2.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥84</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","107","310426","0.0-22.0-3.1","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","108","311594","0.0-22.0-0.2","","1166.2299999988754","","","","4","50","0","180","0","7"
"html-keyboard-response","109","316096","0.0-22.0-1.2","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥180</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","110","317110","0.0-22.0-2.2","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","111","321315","0.0-22.0-3.2","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","112","323317","0.0-23.0-0.0","","null","<p>今どれくらい楽しいかを教えてください</p>","null","","","","","","",""
"html-slider-response","113","324934","0.0-23.0-1.0","","1617.4250000003376","<p>今どれくらい楽しいかを教えてください</p>","","20","","","","","",""
"html-keyboard-response","114","331236","0.0-23.0-2.0","","null","<p style=""font-size: 48px"">+</p>","null","","","","","","",""
"html-button-response","115","332362","0.0-24.0-0.0","","1125.9549999995506","","","","4","0","72.6","72.6","-72.6","7"
"html-keyboard-response","116","336878","0.0-24.0-1.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥72.6</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-72.6</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","117","337882","0.0-24.0-2.0","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥72.6</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","118","341383","0.0-24.0-3.0","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","119","343329","0.0-24.0-0.1","","1943.9800000000396","","","","4","0","19.8","19.8","-19.8","7"
"html-keyboard-response","120","347846","0.0-24.0-1.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥19.8</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥-19.8</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","121","348852","0.0-24.0-2.1","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥19.8</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","122","355853","0.0-24.0-3.1","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-button-response","123","356993","0.0-24.0-0.2","","1137.4149999992223","","","","4","50","0","91","0","5"
"html-keyboard-response","124","361503","0.0-24.0-1.2","","null","<p style='position: absolute; top: 27%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 31%;right: 27%;color: whilt;font-size: 45pt;'>￥91</p><p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","125","362504","0.0-24.0-2.2","","null","<p style='position: absolute; top: 48%;right: 25%'><img src='img/s2.bmp' width='200px'/></p><p style='position: absolute; top: 53%;right: 27%;color: whilt;font-size: 45pt;'>￥0</p><p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","126","367415","0.0-24.0-3.2","","null","<p style='font-size: 48px'>+</p>","null","","","","","","",""
"html-keyboard-response","127","369417","0.0-25.0-0.0","","null","<p>今どれくらい楽しいかを教えてください</p>","null","","","","","","",""
"html-slider-response","128","370666","0.0-25.0-1.0","","1249.0400000005611","<p>今どれくらい楽しいかを教えてください</p>","","68","","","","","",""
"html-keyboard-response","129","372779","0.0-25.0-2.0","","null","<p style=""font-size: 48px"">+</p>","null","","","","","","",""
"html-button-response","130","374245","0.0-26.0-0.0","","1464.3149999993038","","","","4","60","133.2","133.2","0","4"
